country,oecd,gdpcap85,school,pop,fert,lifeexp,popgrowth,civlib5,wartime,gvtcons
Algeria,0,2951,2.394,21788,6.21,61.5,0.0303,6,0,0.1454
Angola,0,662,NA,8754,NA,NA,0.0253,7,0.44,NA
Benin,0,1067,0.698,3985,6.5,49.4,0.0309,6.2,0,0.1067
Botswana,0,2252,3.7,1083,5.76,58.3,0.0344,3,0,0.2655
Burkina_Faso,0,516,NA,7877,6.5,46.4,0.0248,5.2,0,0.1991
Burundi,0,510,NA,4731,6.68,47.9,0.0265,6,0.04,0.1403
Cameroon,0,1432,2.23,10051,6.5,55.1,0.0316,6.2,0,0.0885
Cape_Verde,0,1205,NA,324,NA,NA,0.0199,6.2,NA,NA
Central_African_Republic,0,596,1.261,2646,5.65,49.1,0.0244,5.4,0,0.1541
Chad,0,383,NA,5018,5.89,44.5,0.0228,6.4,0.84,0.284
Comoros,0,614,NA,463,NA,NA,NA,4.8,NA,NA
Congo,0,2540,3.143,1939,6.3,57.7,0.0321,6.2,0,NA
Egypt,0,1859,NA,46511,5,59.6,0.0272,5.2,0.08,0.1755
Ethiopia,0,283,NA,43083,6.23,45.3,0.0228,7,1,0.1656
Gabon,0,4070,NA,985,5.1,51.1,0.0448,6,0,0.1553
Gambia,0,616,0.837,745,6.5,42.4,0.0331,3.4,0,0.2121
Ghana,0,759,3.216,12839,6.44,53.2,0.0323,4.4,0,0.0844
Guinea,0,366,NA,4987,NA,NA,0.0217,6.6,NA,NA
Guinea-Bissau,0,616,0.56,873,6,38.7,0.0182,6,0,0.2741
Cote_d.Ivoire,0,1499,NA,9933,7.4,51.7,0.0416,5,0,0.1686
Kenya,0,772,3.093,20096,7.81,57.1,0.0404,4.6,0,0.1896
Lesotho,0,912,3.508,1538,5.8,54.5,0.0262,5,0,0.2957
Liberia,0,805,1.845,2199,6.54,53.7,0.032,5.6,0.04,0.1869
Madagascar,0,745,NA,10237,6.43,52.7,0.0317,5.8,0,0.1506
Malawi,0,499,2.577,7340,7.6,45.4,0.0381,7,0,0.1734
Mali,0,515,0.819,7915,6.88,46.3,0.0229,6,0,0.1035
Mauritania,0,809,NA,1766,6.5,45.2,0.0262,6,0.44,0.201
Mauritius,0,4136,4.59,1020,2.22,66.3,0.0109,2.6,0,0.136
Morocco,0,1889,NA,22025,5.06,59.8,0.0264,4.8,0.44,0.2024
Mozambique,0,697,1.077,13711,6.3,47,0.0261,6.8,0.32,0.2044
Niger,0,533,0.541,6608,7,43.7,0.0295,6,0,0.1089
Nigeria,0,860,NA,92016,6.66,50.1,0.0325,3.4,0.12,0.1077
Rwanda,0,731,0.836,6102,8,47.6,0.0318,6,0,0.1344
Senegal,0,1109,2.393,6375,6.56,46.7,0.0281,4,0,0.2096
Seychelles,0,3038,NA,NA,NA,NA,0.0093,6,NA,NA
Sierra_Leone,0,852,1.721,3665,6.5,40.3,0.0233,5,0,0.0796
Somalia,0,739,NA,6370,6.77,46.1,0.0283,7,1,0.1234
South_Africa,0,3354,4.955,31569,4.6,59.4,0.0221,6,0.44,0.1569
Sudan,0,1027,0.909,21822,6.5,49,0.031,5.4,0.08,0.154
Swaziland,0,2158,3.772,664,6.5,54.4,0.0329,5.2,0,0.2567
