"country","year","unem","infl","gdp","uneml","infll","gdpl","trade","capmob","oild","corp","leftlab","demand","countryname"
2,1966,3.8,2.9,5.1111407,4.5,1.9900497,5.934182,9.622906,0,0.000675,1.7985288,1.3764145,51.96369,"US"
2,1967,3.8,2.8,2.277283,3.8,2.9,5.1111407,9.983546,0,0.00059,1.8077855,1.1766782,36.93912,"US"
2,1968,3.6,4.2,4.7,3.8,2.8,2.277283,10.08912,0,0.000662,1.8181758,1.1766782,57.50798,"US"
2,1969,3.5,5.4,2.8,3.6,4.2,4.7,10.43593,0,0.00072,1.8285455,0.43317163,55.310432,"US"
2,1970,4.9,5.9,-0.2,3.5,5.4,2.8,10.49535,0,0.000773,1.8339705,0.43317163,35.68419,"US"
2,1971,5.9,4.3,3.1,4.9,5.9,-0.2,11.27827,0,0.001063,1.8596696,0.4840479,42.857426,"US"
2,1972,5.6,3.3,5.4,5.9,4.3,3.1,11.21771,0,0.001325,1.843797,0.4840479,59.45386,"US"
2,1973,4.9,6.2,5.7,5.6,3.3,5.4,11.76705,0,0.00226,1.7979207,0.43317163,70.602295,"US"
2,1974,5.6,11,-0.9,4.9,6.2,5.7,13.77255,0,0.007898,1.9404387,0.43317163,11.01804,"US"
2,1975,8.5,9.1,-0.8,5.6,11,-0.9,17.42326,0,0.009097,1.9732283,0.6404451,-5.2269783,"US"
2,1976,7.7,5.8,4.7,8.5,9.1,-0.8,16.52211,0,0.011098,1.9658078,0.6404451,82.61055,"US"
2,1977,7.1,6.5,5.5,7.7,5.8,4.7,17.23492,0,0.013843,1.9560741,1.3632243,62.04571,"US"
2,1978,6.1,7.7,4.7,7.1,6.5,5.5,17.54099,0,0.01263,1.8887957,1.3632243,71.91806,"US"
2,1979,5.8,11.3,2.6,6.1,7.7,4.7,18.17591,0,0.01673,1.8838983,1.2991581,58.162914,"US"
2,1980,7.1,13.5,-0.4,5.8,11.3,2.6,19.73285,0,0.022449,2.0310316,1.2991581,23.67942,"US"
2,1981,7.5,10.4,3.4,7.1,13.5,-0.4,21.51057,0,0.021138,2.002635,0.43317163,36.56797,"US"
2,1982,9.5,6.1,-3,7.5,10.4,3.4,20.53895,0,0.01793,1.9912306,0.43317163,-6.1616855,"US"
2,1983,9.5,3.2,2.9,9.5,6.1,-3,18.56972,0,0.014882,1.6761642,0.5443456,50.138245,"US"
2,1984,7.5,4.3,7.2,9.5,3.2,2.9,17.81588,0,0.015458,1.6540775,0.5443456,83.734634,"US"
2,1985,7.1,3.5,3.8,7.5,4.3,7.2,18.02899,0,0.012709,2.1234744,0.47651064,63.101463,"US"
2,1986,7,1.9,2.8,7.1,3.5,3.8,17.20371,0,0.006475,2.112881,0.47651064,51.61113,"US"
2,1987,6.2,3.7,3.7,7,1.9,2.8,17.23095,0,0.010027,2.1001842,0.49723804,58.585228,"US"
