"regime1","oilL5","metalL5","GDPpcL5","islam","oecd","cty_name","id","id1","year"
5,0.93477684,0.06222598,1730,0,0,"Angola","AGO",4,1995
1.5,0.0514932,0.39299416,20660,0.954,0,"United Arab Emirates","ARE",7,1995
9,0.07800721,0.02446849,6500,0.002,0,"Argentina","ARG",8,1995
10,0.18420877,0.15965465,15420,0.002,1,"Australia","AUS",12,1995
10,0.00992832,0.0346507,17610,0.002,1,"Austria","AUT",13,1995
10,0.03430927,0.04222133,18180,0.009,1,"Belgium","BEL",16,1995
0.5,0.7889819,0.11147871,12580,0.95,0,"Bahrain","BHR",21,1995
9.5,0.24565224,0.440863,2220,0,0,"Bolivia","BOL",27,1995
9,0.02159848,0.13558472,5020,0.001,0,"Brazil","BRA",28,1995
10,0.10043985,0.08569746,18660,0.002,1,"Canada","CAN",34,1995
10,0.00126327,0.02658967,22660,0.003,1,"Switzerland","CHE",35,1995
9,0.00524347,0.54614895,7230,0,0,"Chile","CHL",37,1995
1.5,0.08308206,0.0208145,1390,0.026,0,"China","CHN",38,1995
1.5,0.4986365,0.06878972,1990,0.2,0,"Cameroon","CMR",40,1995
8.5,0.36893414,0.00167897,5100,0.002,0,"Colombia","COL",42,1995
10,0.01015774,0.0091746,5080,0,0,"Costa Rica","CRI",45,1995
5,0.03326201,0.01204295,17610,0.002,1,"Denmark","DNK",53,1995
3.5,0.9647399,0.0042889,4260,0.991,0,"Algeria","DZA",54,1995
9.5,0.51913925,0.00152967,3960,0,0,"Ecuador","ECU",55,1995
3.5,0.2941464,0.08864563,2310,0.81,0,"Egypt, Arab Rep.","EGY",56,1995
10,0.04899699,0.02438699,12340,0,1,"Spain","ESP",58,1995
5.5,0.06163352,0.00046743,400,0.31,0,"Ethiopia","ETH",60,1995
10,0.01468867,0.03578378,16930,0,1,"Finland","FIN",61,1995
7,2.385e-05,0.00192673,3390,0.078,0,"Fiji","FJI",62,1995
9,0.02360025,0.02803423,17900,0.027,1,"France","FRA",63,1995
10,0.07604904,0.03146061,16160,0.011,1,"United Kingdom","GBR",67,1995
10,0.07295382,0.06787564,9960,0.015,1,"Greece","GRC",76,1995
5,0.02142334,0.00348135,3210,0,0,"Guatemala","GTM",79,1995
8.5,0.00850337,0.04164752,1980,0.001,0,"Honduras","HND",84,1995
10,0.03089943,0.05937975,6470,0,0,"Hungary","HUN",87,1995
1.5,0.43983856,0.0438048,2070,0.43,0,"Indonesia","IDN",88,1995
9,0.02923668,0.05159237,1120,0.112,0,"India","IND",90,1995
5,0.00657223,0.01192479,11640,0,1,"Ireland","IRL",91,1995
10,1.122e-05,0.11057373,18390,0,1,"Iceland","ISL",94,1995
9.5,0.00663841,0.01609868,13340,0.089,0,"Israel","ISR",95,1995
10,0.02282514,0.01367254,16460,0.001,1,"Italy","ITA",96,1995
9.5,0.01490607,0.09756613,3100,0.002,0,"Jamaica","JAM",97,1995
