year,finish,women
1900,11,0
1904,11,0
1908,10.8,0
1912,10.8,0
1920,10.8,0
1924,10.6,0
1928,10.8,0
1932,10.3,0
1936,10.3,0
1948,10.3,0
1952,10.4,0
1956,10.5,0
1960,10.2,0
1964,10,0
1968,9.95,0
1972,10.14,0
1976,10.06,0
1980,10.25,0
1984,9.99,0
1988,9.92,0
1992,9.96,0
1996,9.84,0
2000,9.87,0
2004,9.85,0
1928,12.2,1
1932,11.9,1
1936,11.5,1
1948,11.9,1
1952,11.5,1
1956,11.5,1
1960,11,1
1964,11.4,1
1968,11.08,1
1972,11.07,1
1976,11.08,1
1980,11.06,1
1984,10.97,1
1988,10.54,1
1992,10.82,1
1996,10.94,1
2000,10.75,1
2004,10.93,1
